"","conflict_id","dyad_id","actor_id","coalition_components","actor_name","actor_name_fulltext","actor_name_mothertongue","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","gwnoa","region","conflictid_old","conflictid_new","actorid","actor_type","conflict_type","conflict_issue","gwnoloc","gwnoloc2","gwnoloc3","gwnoloc4","conflictyear","state_prev","ai_prev","hrw_prev","form_sv","actor_year","sv_prev"
"1",514,981,303,"","Taleban","Taleban","Taleban",1996,42,12,42,"Afghanistan","700",NA,"Asia",137,333,1146,3,3,2,700,0,0,0,1,0,0,NA,NA,"Taleban 1996",NA
"2",514,981,303,"","Taleban","Taleban","Taleban",2004,53,51,69,"Afghanistan","700",NA,"Asia",137,333,1146,3,3,2,700,0,0,0,1,0,0,0,NA,"Taleban 2004",0
"3",514,981,303,"","Taleban","Taleban","Taleban",2006,196,194,253,"Afghanistan","700",NA,"Asia",137,333,1146,3,3,2,700,0,0,0,1,0,0,0,NA,"Taleban 2006",0
"4",514,981,303,"","Taleban","Taleban","Taleban",2007,113,113,142,"Afghanistan","700",NA,"Asia",137,333,1146,3,3,2,700,0,0,0,1,0,0,0,NA,"Taleban 2007",0
"5",514,981,303,"","Taleban","Taleban","Taleban",2008,108,74,120,"Afghanistan","700",NA,"Asia",137,333,1146,3,3,2,700,0,0,0,1,0,0,0,NA,"Taleban 2008",0
"6",514,981,303,"","Taleban","Taleban","Taleban",2009,154,151,179,"Afghanistan","700",NA,"Asia",137,333,1146,3,3,2,700,0,0,0,1,0,0,0,NA,"Taleban 2009",0
"7",514,981,303,"","Taleban","Taleban","Taleban",2010,185,184,286,"Afghanistan","700",NA,"Asia",137,333,1146,3,4,2,700,0,0,0,1,0,1,0,"5","Taleban 2010",1
"8",514,981,303,"","Taleban","Taleban","Taleban",2011,76,76,163,"Afghanistan","700",NA,"Asia",137,333,1146,3,4,2,700,0,0,0,1,0,0,0,NA,"Taleban 2011",0
"9",514,981,303,"","Taleban","Taleban","Taleban",2012,83,82,131,"Afghanistan","700",NA,"Asia",137,333,1146,3,4,2,700,0,0,0,1,0,0,0,NA,"Taleban 2012",0
"10",514,981,303,"","Taleban","Taleban","Taleban",2013,64,62,80,"Afghanistan","700",NA,"Asia",137,333,1146,3,4,2,700,0,0,0,1,0,NA,0,NA,"Taleban 2013",NA
"11",514,981,303,"","Taleban","Taleban","Taleban",2014,240,237,297,"Afghanistan","700",NA,"Asia",137,333,1146,3,4,2,700,0,0,0,1,0,0,0,NA,"Taleban 2014",0
"12",514,981,303,"","Taleban","Taleban","Taleban",2015,161,161,246,"Afghanistan","700",NA,"Asia",137,333,1146,3,4,2,700,0,0,0,1,0,2,0,"1","Taleban 2015",2
"13",515,982,304,"","UIFSA","United Islamic Front for the Salvation of Afghanistan","Jabha-yi Muttahid-i Islami-yi Milli bara-yi Nijat-i Afghanistan",2001,200,200,1000,"Afghanistan","700",NA,"Asia",137,333,1147,3,3,2,700,0,0,0,1,0,0,0,NA,"UIFSA 2001",0
"14",506,973,234,"","IS","Islamic State","al-Dawla al-Islamiyya",2015,6063,5799,6976,"Afghanistan, Bangladesh, Cameroon, Chad, Egypt, France, Iraq, Kuwait, Libya, Niger, Nigeria, Pakistan, Russia (Soviet Union), Saudi Arabia, Syria, Tunisia, Turkey, United States of America, Yemen (North Yemen)","2, 220, 365, 436, 471, 475, 483, 616, 620, 640, 645, 651, 652, 670, 678, 690, 700, 770, 771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IS 2015",NA
"15",514,981,303,"","Taleban","Taleban","Taleban",2005,114,114,149,"Afghanistan, Pakistan","700, 770",NA,"Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taleban 2005",NA
"16",540,1007,388,"","LeJ","Army of Jhangvi","Lashkar-e-Jhangvi",2011,121,121,152,"Afghanistan, Pakistan","700, 770",NA,"Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LeJ 2011",NA
"17",4150,4751,3481,"","Signed-in-Blood Battalion","Signed-in-Blood Battalion","al-Mouwakoune Bi-Dima",2013,26,26,26,"Algeria","615",NA,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Signed-in-Blood Battalion 2013",NA
"18",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",1993,26,26,26,"Algeria","615",NA,"Africa",191,386,1390,3,3,2,615,0,0,0,1,0,0,0,NA,"GIA 1993",0
"19",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",1997,355,160,1117,"Algeria","615",NA,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIA 1997",NA
"20",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",1998,109,109,629,"Algeria","615",NA,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIA 1998",NA
"21",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",1999,125,125,179,"Algeria","615",NA,"Africa",191,386,1390,3,3,2,615,0,0,0,1,0,0,0,NA,"GIA 1999",0
"22",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",2000,244,244,247,"Algeria","615",NA,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIA 2000",NA
"23",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",2001,32,32,32,"Algeria","615",NA,"Africa",191,386,1390,3,3,2,615,0,0,0,1,0,0,0,NA,"GIA 2001",0
"24",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",2002,510,508,527,"Algeria","615",NA,"Africa",191,386,1390,3,3,2,615,0,0,0,1,0,0,0,NA,"GIA 2002",0
"25",572,1039,538,"","GIA","Armed Islamic Group","Groupe islamique armée",2003,34,34,34,"Algeria","615",NA,"Africa",191,386,1390,3,3,2,615,0,0,0,1,0,0,0,NA,"GIA 2003",0
"26",573,1040,539,"","AQIM","al-Qaida Organization in the Islamic Maghreb","Qaida al-Jihad fi Bilad al-Maghrib al-Islami",2004,87,87,95,"Algeria","615",NA,"Africa",191,386,1391,3,3,2,615,0,0,0,1,0,0,NA,NA,"AQIM 2004",NA
"27",573,1040,539,"","AQIM","al-Qaida Organization in the Islamic Maghreb","Qaida al-Jihad fi Bilad al-Maghrib al-Islami",2006,37,37,39,"Algeria","615",NA,"Africa",191,386,1391,3,3,2,615,0,0,0,1,0,0,NA,NA,"AQIM 2006",NA
"28",573,1040,539,"","AQIM","al-Qaida Organization in the Islamic Maghreb","Qaida al-Jihad fi Bilad al-Maghrib al-Islami",2009,38,36,42,"Algeria, Mali, Mauritania","432, 435, 615",NA,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AQIM 2009",NA
"29",573,1040,539,"","AQIM","al-Qaida Organization in the Islamic Maghreb","Qaida al-Jihad fi Bilad al-Maghrib al-Islami",2007,27,27,27,"Algeria, Mauritania","435, 615",NA,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AQIM 2007",NA
"30",578,1045,567,"","UNITA","National Union for the Total Independence of Angola","União nacional para a independência total de Angola",1989,63,63,307,"Angola","540",NA,"Africa",131,327,1421,3,4,2,540,0,0,0,1,0,0,0,NA,"UNITA 1989",0
"31",578,1045,567,"","UNITA","National Union for the Total Independence of Angola","União nacional para a independência total de Angola",1990,51,51,157,"Angola","540",NA,"Africa",131,327,1421,3,4,2,540,0,0,0,1,0,0,0,NA,"UNITA 1990",0
"32",578,1045,567,"","UNITA","National Union for the Total Independence of Angola","União nacional para a independência total de Angola",1993,343,343,1941,"Angola","540",NA,"Africa",131,327,1421,3,4,2,540,0,0,0,1,0,1,0,"1","UNITA 1993",1
